,Open,High,Low,Close,Adj Close,Volume
2021-03-25 09:30:00-04:00,235.3000030517578,236.94000244140625,234.25999450683594,234.27000427246094,234.27000427246094,6167055
2021-03-25 10:30:00-04:00,234.26190185546875,234.3300018310547,231.72000122070312,232.77000427246094,232.77000427246094,5108470
2021-03-25 11:30:00-04:00,232.77499389648438,233.11000061035156,231.57000732421875,232.6300048828125,232.6300048828125,4217301
2021-03-25 12:30:00-04:00,232.6300048828125,233.1199951171875,231.57000732421875,232.4600067138672,232.4600067138672,3493966
2021-03-25 13:30:00-04:00,232.47999572753906,232.83999633789062,231.61000061035156,231.75,231.75,2943659
2021-03-25 14:30:00-04:00,231.75999450683594,233.61000061035156,231.7449951171875,232.77999877929688,232.77999877929688,3391559
2021-03-25 15:30:00-04:00,232.77999877929688,233.47999572753906,232.22000122070312,232.27000427246094,232.27000427246094,3929729
2021-03-26 09:30:00-04:00,231.5500030517578,233.89999389648438,231.5500030517578,233.4250030517578,233.4250030517578,4047973
2021-03-26 10:30:00-04:00,233.4199981689453,234.14999389648438,232.77000427246094,233.11000061035156,233.11000061035156,2367838
2021-03-26 11:30:00-04:00,233.11500549316406,235.17999267578125,232.89999389648438,234.32000732421875,234.32000732421875,2629257
2021-03-26 12:30:00-04:00,234.3350067138672,235.39999389648438,234.07000732421875,235.36000061035156,235.36000061035156,1798871
2021-03-26 13:30:00-04:00,235.36000061035156,235.44000244140625,233.24000549316406,233.85000610351562,233.85000610351562,2729144
2021-03-26 14:30:00-04:00,233.8699951171875,234.9600067138672,233.02999877929688,234.92999267578125,234.92999267578125,2922993
2021-03-26 15:30:00-04:00,234.9600067138672,236.7100067138672,234.5800018310547,236.49000549316406,236.49000549316406,3701502
2021-03-29 09:30:00-04:00,236.58999633789062,236.8000030517578,231.8800048828125,232.07000732421875,232.07000732421875,5752565
2021-03-29 10:30:00-04:00,232.05999755859375,233.97500610351562,231.97999572753906,233.69009399414062,233.69009399414062,2807738
2021-03-29 11:30:00-04:00,233.6999969482422,234.0,233.02000427246094,233.52999877929688,233.52999877929688,1830667
2021-03-29 12:30:00-04:00,233.5399932861328,235.39999389648438,233.49000549316406,235.1699981689453,235.1699981689453,2542536
2021-03-29 13:30:00-04:00,235.14999389648438,235.63999938964844,234.52000427246094,234.75,234.75,1952379
2021-03-29 14:30:00-04:00,234.72999572753906,235.0,234.25999450683594,234.72999572753906,234.72999572753906,2077765
2021-03-29 15:30:00-04:00,234.74000549316406,235.30999755859375,234.5500030517578,235.27000427246094,235.27000427246094,2128705
